ID	PATTERN	PROFESSIONAL	CONSUMER	PROPENSITY_FACTOR
12051	also called	nausea	Morning sickness	9
12565	also known as	eidetic memory	photographic memory	8
6281	also called	aliment	Alimony	8
13475	also known as	Lynch syndrome	hereditary nonpolyposis colorectal cancer (HNPCC)	7
28055	also called	xerophthalmia	Keratoconjunctivitis sicca (KCS)	7
14319	commonly known as	Guinea pepper	spice	7
3360	also known as	vision training	Vision therapy	7
7550	also known as	primary ovarian insufficiency	Premature Ovarian Failure	6
14316	commonly known as	alligator pepper	spice	6
2830	also known as	GM2 gangliosidosis	Tay–Sachs disease	6
5766	also known as	Lysosomal acid lipase deficiency	Wolman Disease	6
25202	also known as	Malignant hyperthermia	Porcine stress syndrome	6
26770	also known as	digital health	Digital healthcare	6
17048	also known as	fertility control	Birth control	6
26720	also known as	kōwhai	Sophora molloyi	5
25832	also known as	Lamiaceae	heal-all	5
25833	also known as	Lamiaceae	allheal	5
21537	also known as	Avon Longitudinal Study of Parents and Children	Children of the 90s	5
5754	also called	GPB	frog breathing	4
20272	previously known as	Retinopathy of prematurity	retrolental fibroplasia	4
26871	previously called	Acute kidney injury	AKI	4
141	also known as	ructus	Burping	4
1621	also known as	ursodeoxycholic acid	Ursodiol	4
325	also known as	fetal resorption	vanishing twin	4
18281	also known as	Artificial nails	fake nails	4
10214	also known as	Clouding of consciousness	brain fog	4
4575	also known as	neutering	Castration	4
15225	commonly known as	Nepeta cataria	catnip	4
13622	commonly known as	Iroko	Milicia excelsa	4
22699	also known as	Cat scratch disease	cat scratch fever	4
27502	also known as	hydrogen bonds	dehydrons	4
16416	commonly known as	Trachyspermum ammi	carom seeds	4
978	also known as	MUC16	CA-125	4
28425	also termed	BMS	burning tongue syndrome	4
11581	also known as	Meckel syndrome	Gruber Syndrome	4
25831	also known as	Lamiaceae	self-heals	4
1004	also known as	CD35	CR1	4
24749	also known as	transcriptome	Salivary transcriptome	4
17175	also called	Acorus calamus	Sweet Flag	4
12466	also called	nervus intermedius neuralgia	Geniculate Neuralgia	4
21463	also known as	Cardiac dysrhythmia	irregular heartbeat	4
14593	also known as	frisson	cold chill	4
999	also known as	weight cycling	yo-yo effect	4
28418	also termed	BMS	orodynia	4
5685	also known as	porcine reproductive and respiratory syndrome	blue-ear pig disease	4
4572	commonly known as	Toxicodendron radicans	poison ivy	4
28424	also termed	BMS	sore tongue	4
2103	also called	Swine influenza	pig flu	4
2699	commonly referred to as	schizophasia	word salad	4
12050	also called	nausea gravidarum	Morning sickness	4
12052	also called	vomiting of pregnancy	Morning sickness	4
1474	also known as	Azadirachta indica	Neem	4
18177	also known as	Legionnaires disease	Legion Fever	4
2101	also called	Swine influenza	swine flu	4
25603	commonly known as	Tussilago farfara	Coltsfoot	4
65	also known as	Pressure ulcers	bedsores	4
17708	also known as	Trevors disease	Trevor disease	4
2789	also known as	Abdominal obesity	belly fat	4
1475	also known as	Azadirachta indica	Nimtree	4
1476	also known as	Azadirachta indica	Indian Lilac	4
1217	also known as	aortoiliac occlusive disease	Leriche syndrome	4
9820	also known as	Recurrent airway obstruction	heaves	4
28422	also termed	BMS	burning tongue	4
2660	also known as	Ascaris suum	large roundworm of pigs	4
17078	also referred to as	Health coaching	wellness coaching	4
3045	also known as	Magnaporthe grisea	rice rotten neck	4
3047	also known as	Magnaporthe grisea	blast of rice	4
3048	also known as	Magnaporthe grisea	oval leaf spot of graminea	4
3049	also known as	Magnaporthe grisea	pitting disease	4
3050	also known as	Magnaporthe grisea	ryegrass blast	4
3051	also known as	Magnaporthe grisea	Johnson spot	4
9052	also known as	Graves ophthalmopathy	thyroid eye disease (TED)	3
19735	also known as	family and consumer sciences	Home economics	3
2273	also known as	hebephrenia	Disorganized schizophrenia	3
12142	commonly called	biennials	foxgloves	3
21509	commonly known as	Celastrus	bittersweet	3
11729	also known as	The New World	Birth Control	3
25361	also called	Spinal anaesthesia	spinal block	3
11372	also known as	Arginine vasopressin	argipressin	3
12516	commonly known as	methyl bromide	Bromomethane	3
2075	also known as	Scotopic sensitivity syndrome	Irlen Syndrome	3
7471	also known as	Glycyrrhiza uralensis	Chinese liquorice	3
20273	previously known as	Retinopathy of prematurity	ROP	3
6152	also called	Gynostemma pentaphyllum	jiaogulan	3
9671	also called	Transient synovitis of the hip	toxic synovitis	3
6386	also known as	Nijmegen breakage syndrome	Berlin breakage syndrome	3
6387	also known as	Nijmegen breakage syndrome	Seemanova syndrome	3
12951	also known as	Retching	dry heaving	3
7363	also known as	Acute radiation syndrome	radiation poisoning	3
1068	also known as	Tonsilloliths	tonsil stones	3
2623	also known as	Taenia saginata	Taeniarhynchus saginata	3
1215	also known as	Bloom syndrome	Bloom–Torre–Machacek syndrome	3
14473	also known as	olfactory dysfunction	Dysosmia	3
128	also known as	cytokeratin-19	Keratin, type I cytoskeletal 19	3
422	also known as	primary visual cortex	V1	3
6098	sometimes called	statutory health insurance	National health insurance	3
14928	also known as	care maps	Clinical pathways	3
15552	also known as	GW501516	GW-501,516	3
15554	also known as	GW501516	GSK-516	3
15555	also known as	GW501516	Endurobol	3
4008	also known as	neurotic excoriation	Dermatillomania	3
4011	also known as	psychogenic excoriation	Dermatillomania	3
19855	also known as	Leydig cells	interstitial cells of Leydig	3
